CZ_NAME,sum_2000_2005,sum_2018_2023,rate_of_change,rate_of_change (%)
APPLING,1.0,3.0,0.5,50.0
ATKINSON,2.0,2.0,0.0,0.0
BACON,3.0,0.0,-1.0,-100.0
BAKER,1.0,1.0,0.0,0.0
BALDWIN,3.0,4.0,0.14285714285714285,14.285714285714285
BANKS,6.0,4.0,-0.2,-20.0
BARROW,9.0,1.0,-0.8,-80.0
BARTOW,14.0,28.0,0.3333333333333333,33.33333333333333
BEN HILL,2.0,5.0,0.42857142857142855,42.857142857142854
BERRIEN,2.0,10.0,0.6666666666666666,66.66666666666666
BIBB,10.0,3.0,-0.5384615384615384,-53.84615384615385
BLECKLEY,3.0,0.0,-1.0,-100.0
BRANTLEY,3.0,1.0,-0.5,-50.0
BROOKS,3.0,5.0,0.25,25.0
BRYAN,4.0,0.0,-1.0,-100.0
BULLOCH,7.0,1.0,-0.75,-75.0
BURKE,1.0,8.0,0.7777777777777778,77.77777777777779
BUTTS,2.0,1.0,-0.3333333333333333,-33.33333333333333
CALHOUN,1.0,2.0,0.3333333333333333,33.33333333333333
CAMDEN,3.0,0.0,-1.0,-100.0
CANDLER,3.0,2.0,-0.2,-20.0
CARROLL,12.0,4.0,-0.5,-50.0
CATOOSA,4.0,3.0,-0.14285714285714285,-14.285714285714285
CHARLTON,8.0,3.0,-0.45454545454545453,-45.45454545454545
CHATHAM,7.0,1.0,-0.75,-75.0
CHATTAHOOCHEE,2.0,0.0,-1.0,-100.0
CHATTOOGA,8.0,32.0,0.6,60.0
CHEROKEE,17.0,1.0,-0.8888888888888888,-88.88888888888889
CLARKE,5.0,1.0,-0.6666666666666666,-66.66666666666666
CLAYTON,8.0,8.0,0.0,0.0
CLINCH,2.0,1.0,-0.3333333333333333,-33.33333333333333
COASTAL CAMDEN,1.0,9.0,0.8,80.0
COASTAL GLYNN,1.0,8.0,0.7777777777777778,77.77777777777779
COBB,20.0,8.0,-0.42857142857142855,-42.857142857142854
COFFEE,4.0,1.0,-0.6,-60.0
COLQUITT,4.0,3.0,-0.14285714285714285,-14.285714285714285
COLUMBIA,5.0,5.0,0.0,0.0
COOK,1.0,1.0,0.0,0.0
COWETA,15.0,6.0,-0.42857142857142855,-42.857142857142854
CRAWFORD,6.0,3.0,-0.3333333333333333,-33.33333333333333
CRISP,9.0,7.0,-0.125,-12.5
DADE,3.0,6.0,0.3333333333333333,33.33333333333333
DAWSON,5.0,5.0,0.0,0.0
DE KALB,20.0,10.0,-0.3333333333333333,-33.33333333333333
DECATUR,2.0,6.0,0.5,50.0
DODGE,4.0,5.0,0.1111111111111111,11.11111111111111
DOOLY,8.0,1.0,-0.7777777777777778,-77.77777777777779
DOUGHERTY,1.0,28.0,0.9310344827586207,93.10344827586206
DOUGLAS,11.0,8.0,-0.15789473684210525,-15.789473684210526
EARLY,3.0,3.0,0.0,0.0
ECHOLS,2.0,1.0,-0.3333333333333333,-33.33333333333333
EFFINGHAM,1.0,0.0,-1.0,-100.0
ELBERT,6.0,6.0,0.0,0.0
EMANUEL,3.0,1.0,-0.5,-50.0
EVANS,3.0,1.0,-0.5,-50.0
FANNIN,9.0,8.0,-0.058823529411764705,-5.88235294117647
FAYETTE,13.0,3.0,-0.625,-62.5
FLOYD,16.0,18.0,0.058823529411764705,5.88235294117647
FORSYTH,8.0,3.0,-0.45454545454545453,-45.45454545454545
FRANKLIN,5.0,3.0,-0.25,-25.0
FULTON,30.0,42.0,0.16666666666666666,16.666666666666664
GILMER,10.0,4.0,-0.42857142857142855,-42.857142857142854
GLYNN,1.0,7.0,0.75,75.0
GORDON,18.0,4.0,-0.6363636363636364,-63.63636363636363
GRADY,2.0,3.0,0.2,20.0
GREENE,3.0,4.0,0.14285714285714285,14.285714285714285
GWINNETT,12.0,6.0,-0.3333333333333333,-33.33333333333333
HABERSHAM,12.0,12.0,0.0,0.0
HALL,6.0,11.0,0.29411764705882354,29.411764705882355
HANCOCK,1.0,2.0,0.3333333333333333,33.33333333333333
HARALSON,9.0,0.0,-1.0,-100.0
HARRIS,6.0,6.0,0.0,0.0
HART,5.0,2.0,-0.42857142857142855,-42.857142857142854
HEARD,5.0,0.0,-1.0,-100.0
HENRY,5.0,3.0,-0.25,-25.0
HOUSTON,6.0,4.0,-0.2,-20.0
INLAND CAMDEN,2.0,0.0,-1.0,-100.0
INLAND GLYNN,1.0,0.0,-1.0,-100.0
IRWIN,1.0,15.0,0.875,87.5
JACKSON,4.0,6.0,0.2,20.0
JASPER,1.0,3.0,0.5,50.0
JEFF DAVIS,2.0,2.0,0.0,0.0
JENKINS,2.0,0.0,-1.0,-100.0
JOHNSON,2.0,0.0,-1.0,-100.0
JONES,5.0,6.0,0.09090909090909091,9.090909090909092
LAMAR,5.0,3.0,-0.25,-25.0
LAURENS,5.0,15.0,0.5,50.0
LEE,2.0,19.0,0.8095238095238095,80.95238095238095
LIBERTY,5.0,0.0,-1.0,-100.0
LONG,2.0,0.0,-1.0,-100.0
LOWNDES,4.0,34.0,0.7894736842105263,78.94736842105263
LUMPKIN,2.0,6.0,0.5,50.0
MACON,4.0,3.0,-0.14285714285714285,-14.285714285714285
MADISON,3.0,0.0,-1.0,-100.0
MARION,3.0,2.0,-0.2,-20.0
MCDUFFIE,1.0,0.0,-1.0,-100.0
MCINTOSH,4.0,0.0,-1.0,-100.0
MERIWETHER,7.0,4.0,-0.2727272727272727,-27.27272727272727
MILLER,1.0,3.0,0.5,50.0
MONROE,2.0,5.0,0.42857142857142855,42.857142857142854
MONTGOMERY,3.0,2.0,-0.2,-20.0
MORGAN,5.0,7.0,0.16666666666666666,16.666666666666664
MURRAY,12.0,2.0,-0.7142857142857143,-71.42857142857143
MUSCOGEE,10.0,9.0,-0.05263157894736842,-5.263157894736842
NEWTON,4.0,2.0,-0.3333333333333333,-33.33333333333333
NORTH FULTON,3.0,0.0,-1.0,-100.0
OCONEE,1.0,1.0,0.0,0.0
OGLETHORPE,2.0,0.0,-1.0,-100.0
PAULDING,7.0,16.0,0.391304347826087,39.130434782608695
PEACH,6.0,2.0,-0.5,-50.0
PICKENS,6.0,5.0,-0.09090909090909091,-9.090909090909092
PIERCE,1.0,1.0,0.0,0.0
PIKE,9.0,23.0,0.4375,43.75
POLK,7.0,14.0,0.3333333333333333,33.33333333333333
PULASKI,7.0,1.0,-0.75,-75.0
PUTNAM,6.0,8.0,0.14285714285714285,14.285714285714285
RABUN,9.0,9.0,0.0,0.0
RANDOLPH,1.0,2.0,0.3333333333333333,33.33333333333333
RICHMOND,4.0,5.0,0.1111111111111111,11.11111111111111
ROCKDALE,6.0,2.0,-0.5,-50.0
SCHLEY,1.0,0.0,-1.0,-100.0
SCREVEN,1.0,1.0,0.0,0.0
SEMINOLE,3.0,4.0,0.14285714285714285,14.285714285714285
SOUTH FULTON,2.0,0.0,-1.0,-100.0
SPALDING,5.0,4.0,-0.1111111111111111,-11.11111111111111
STEPHENS,7.0,1.0,-0.75,-75.0
STEWART,1.0,0.0,-1.0,-100.0
SUMTER,8.0,1.0,-0.7777777777777778,-77.77777777777779
TALBOT,3.0,8.0,0.45454545454545453,45.45454545454545
TALIAFERRO,4.0,1.0,-0.6,-60.0
TATTNALL,7.0,0.0,-1.0,-100.0
TAYLOR,3.0,0.0,-1.0,-100.0
TELFAIR,4.0,3.0,-0.14285714285714285,-14.285714285714285
TERRELL,1.0,2.0,0.3333333333333333,33.33333333333333
THOMAS,2.0,17.0,0.7894736842105263,78.94736842105263
TOOMBS,3.0,3.0,0.0,0.0
TOWNS,3.0,1.0,-0.5,-50.0
TREUTLEN,2.0,0.0,-1.0,-100.0
TROUP,6.0,6.0,0.0,0.0
TWIGGS,1.0,1.0,0.0,0.0
UNION,5.0,19.0,0.5833333333333334,58.333333333333336
UPSON,16.0,14.0,-0.06666666666666667,-6.666666666666667
WALKER,5.0,5.0,0.0,0.0
WALTON,7.0,13.0,0.3,30.0
WARE,2.0,2.0,0.0,0.0
WAYNE,4.0,3.0,-0.14285714285714285,-14.285714285714285
WEBSTER,3.0,0.0,-1.0,-100.0
WHEELER,1.0,0.0,-1.0,-100.0
WHITE,5.0,36.0,0.7560975609756098,75.60975609756098
WHITFIELD,8.0,20.0,0.42857142857142855,42.857142857142854
WILCOX,3.0,3.0,0.0,0.0
WILKES,3.0,3.0,0.0,0.0
WILKINSON,1.0,2.0,0.3333333333333333,33.33333333333333
WORTH,1.0,26.0,0.9259259259259259,92.5925925925926
COASTAL CHATHAM,0.0,9.0,1.0,100.0
COASTAL MCINTOSH,0.0,2.0,1.0,100.0
GLASCOCK,0.0,1.0,1.0,100.0
JEFFERSON,0.0,2.0,1.0,100.0
LANIER,0.0,1.0,1.0,100.0
LINCOLN,0.0,4.0,1.0,100.0
MITCHELL,0.0,8.0,1.0,100.0
TIFT,0.0,11.0,1.0,100.0
TURNER,0.0,26.0,1.0,100.0
WASHINGTON,0.0,5.0,1.0,100.0
